watchers,size
2,2320
2,2214682
2,21088
1,48
2,48104
20,762
15,7043
1,112
2,164
1,1232
1,112
1,1024
1,128
1,88
1,156
1,929
1,112
3,1544
3,17018
2,156
1,120
7,872
2,8972
5,1592
2,100
2,2059
4,18171
1,472
1,48
2,94324
1,220
2,104
5,108971
35,5126
1,124
9,195
1,412
3,8002
1,156
266,190048
3,1687
1,9680
283,224
44,144
229,601
14,395
18,1104
4,108
4,100
1,48
1,1877
2,624
3,272
1,156
1,2404
1,488
1,48
1,6278
1,11784
3,806
1,48
9,3734
1,622
1,224
3,11374
6,784
2,212
47,365
212,16600
11,402351
5,141
2,248
2,810
2,344
2,48
1,116
1,144
1,48
1,160
1,4664
3,308
2,112
2,12827
1,108
1,452
1,120
1,168
61,181
3,324
37,2259
1772,81240
235,674
18,603
4,18812
18,194
1,48
1,140
4,1145
1,124
6,4037
3,80
3,7434
1,92
1,116
1,48
1,128
1,676
4,5668
1,48
2,8544
13,4828
1,944
1,2692
29,12791
33,11196
17,314
17,94260
10,984
2,4196
2,25900
2,1124
3,132
1,98
1,136
1,156
1,48
2,2688
1,120
4,246
5,152
1,96
205,333526
2,96
12,2795
2,99
2,148
2,2982
2,106
1,451
1,796
1,96
1,1400
1,162
1,48
6,188
1,572
1,1272
38,2316
3,96
1,333
15,14460
22,3051
2,9543
4,824
3,432
11,2416
1,48
3,4188
4,4352
1,120
1,15576
1,96
1,5068
1,712
9,112
2,1280
2,104
3,1832
1,2476
38,6493
90,6713
7,113
2,156
2,12731
9,169
1,888
1,48
1,2274
1,168
10,358
1,1721
3,42048
2,14660
1,160
1,7157
15,237
2,968
8,1443
66,414
127,143590
33,576
3,1479
1,1744
3,183801
6,21666
14,5929
22,3977
21,1240
25,68772
6,3306
6,298
1,176
8,476
1,48
1,124
1,48
2,408
1,116
1,48
5,120
1,108
1,172
3,485
1,120
3,236
1,548
1,2452
7,619
35,3414
1,28276
8,131
9,166
4,17974
29,232
8,2808
2,112
2,100
2,492
2,3738
1,172
1,1567
17,2401
5,722
1,112
1,48
1,48
3,224
13,2663
1,128
1,892
11,116
1,2356
1,2616
11,1551
1,48
2,320
1,48
3,51785
1,1212
4,174
554,527
3,2318
2,172
1,100508
9,260
1,112
1,112
1,48
1,304
6,156
1,48
1,1340
1,4024
23,9439
1,5756
3,1240
1,48
4,3841
58,8090
1,312
13,12171
23,649
1,100
1,192
4,458
1,7360
1,368
2,3148
3,132
4,148
1,208
1,421
1,320
1,3412
17,15633
1,524
473,227069
7,1154
1,260
55,187
86,433
46,857
1,88
9,604
6,3883
4,552
6,900
3,1660
1,88
6,14782
2,2180
6,11826
3,105
2,96
1,152
1,92
6,13436
3,1370
1,29660
2,3516
457,520
1,112
1,2136
1,104
3,129
7,5414
2,204
2,392
721,1424
45,113
13,3079
11,115
8,400
57,507
8,469
3,40768
2,337
4,1081
1,4520
1,168
3,20684
1,88
1,2228
7,116
1,208
1,4072
6,2791
1,2344
82,24894
1,180
1,140
727,67433
9,2818
12,106
2,1564
1,48
10,2054
5,5764
8,140
2,8616
1,1472
1,5584
1,2278
1,65992
1,348
1,108
2,562
1,116
1,1676
5,692
2,112
3,14588
11,17297
14,847
2,1353
290,5220
29,111
58,11669
17,52043
11,514
4,1217
29,2338
4,136
4,114
2,92
3,172
1,12328
1,228
53,471
1,452
1,408
1,48
1,48
1,104
1,144
2,3712
1,96
1,96
3,300
1,124
3,1360
1,48
2,385
1,5273
574,43952
1,48
12,6515
14,524
26,1134
2,728
1,48
1,48
1,992
3,30157
2,368
5,97865
1,1271
1,104
4,2104
1,48
1,48
5,618
2,552
3,241
1,4668
1,48
1,108
4,12228
1,48
1,48
18,1097
1,184
2,128
1,2936
1,400
330,7802
2,828
2,335
1,108
3,4096
6,104
3,208
3,251
85,22402
6,3946
1,3116
1,96
1,48
12,5376
1,108
1,168
2,399
1,1676
2,786
11,27269
1,220
5549,4935
774,51954
367,14343
9,1194
16,3004
2,2244
14,1734
8,1152
1,116
1,116
1,232
1,48
1,104
1,48
1,128
47,631
3,156
1,1729
1,172
1,116
14,135572
436,1142
1,500
1,11963
1,228
3,135
140,763
6,2163
26,3992
1,48
2,824
2,228
4,27223
10,8829
1,112
2,6753
1,1352
24,174
4,1215
1,114673
11,843
1,280
1,164
1,48
1,100
1,176
1,48
1,256
1,251
1,108
135,7101
2,392
1,99420
4,1041
119,650
1,720
1,400
8,220
1,148
2,104
6,1247
15,109
14,138
1,66612
1,112
1,120
1,136
1,6792
1,8837
1,48
2,168
3,1319
1,408
1,108
1,472
1,132
2,3632
1,48
1,1072
20,133
2,17750
1,184
2,148
1,112
3,10113
1,7172
1,604
1,22068
1,26420
1,23964
1,144
3,190
1,116
1,1048
1,8028
15,373
1,566
1,2623
1,24903
1,48
2,312
1,48
3,108
2,3468
1,404
2,124
1,1336
1,136
1,6032
6,285
6,36415
13,135
2,1254
3,2065
6,4625
16,200
1,196
1,1032
1,160
1,1476
1,340
1,116
1,528
1,581
1,160
1,48
1,269
1,104
4,108
5,124
2,2028
1,152
20,3267
18,1665
1,1352
1,241
100,1961
32,2395
8,144
8,276
9,638
371,3425
1,168
3,436
5,137
2,48
2,2036
1,1412
1,116
415,5708
8,272
1,288
99,501656
3,1482
4,4624
3,3350
1,96
2,100
3,12750
2,3292
1,124
41,19092
1,192
1,128
25,400
4,42300
9,387
1,124
2,89
2,1224
1,504
1,349
1,106
3,135
1,189
7,100
1,536
2,2308
1,46173
1,3008
2,1491
1,304
1,1055
2,124
2,116100
1,116
174,287
11,9990
35,200
47,867
164,17701
7,171
2,2278
1,356
8,457
2,248
2,381
1,48
2,192
1,12441
11,2692
1,48
1,48
1,92
2,236
1,256
1,420
4,8442
1,432
6,89
1,88
6,828
1,156
2,9524
2,532
1,1764
3,3364
1,116
16,375184
2,120
19,1907
1,116
2,48
4,204
2,71200
2,75003
1,14824
2,180
3,3412
1,48
1,364
2,92
1,194648
1,3816
6,258
1,188
1,6603
1,108
1,128
3,2744
2,823
4,1764
1,764
1,2516
1,134
8,803
1,1348
3,1094
9,137
1,140
1,48
1,532
1,3239
1,156
3,476
83,431
1,63404
4,156
4,56189
9,471
5,128
1,3864
1,5408
1,92
1,17485
1,124
3,280
1,31116
1,528
1,152
1,1836
1,252
1,100
1,28760
1,824
10,131897
1,2924
1,156
1,116312
1,104
1,9582
2,2836
38,403
1,48
22,476617
1,48
1,11572
2,96
22,1122
1,3080
2,1830
1,1167
18,223
16,119400
7,529
6,92
2,140
1,671
1,132
1,88
1,48
6,324
1,516
1,936
1,96
1,92
1,640
1,244
2,860
1,88
1,88
2,254
1,92
1,180
1,228
1,1439
1,88
1,48
1,272
72,253
3,3848
7,172
1,28148
4,112
2,129
1,100
1,96
2,20578
2,176
2,48
1,112
154,3487
2,1883
1,3736
1,380
1,11220
41,1192
1,112
4,62976
1,6196
1,48
7,1909
31,36453
13,4894
1,96
12,663
1,150
1,368
1,29056
1,5360
3,2668
1,128
1,1068
1,1204
1,100
1,168
1,240
1,1428
2,381
2,92
1,100
36,107
16,205
7,1360
6657,18403
16,2453
13,110
11,24844
18,307
10,372
9,258
1,48
1,2380
1,48
1,48
4,90
7,555
1,2468
2,240
7,179
11,22337
3,2308
519,18446
2,1769
1,124
126,692
1,100
1,168
1,140
1,181
1,156
1,100991
49,20552
1,96
3,109312
2,890
1,12618
194,45304
102,256
5,787
4,395
1,48
2,968
3,472
1,1052
3,824
1,289
1,88960
1,48
1,320
1,48
1,136
1,1796
1,120
1,1048
1,220
1,88
9,540
20,196
9,1939
3,2701
5,679
3,1203
2,203
3,4178
2,1985
4,336
2,336
1,48
2,616060
5,669
4,2807
39,343
1,220
1,4576
2,4719
1,48
1,2276
1,3278
1,5891
2,1685
1,4480
2,5615
1,5092
1,48
1,92
1,5980
2,548
1,265
7,6063
1,48
1,136
1,9852
1,39248
1,163
3,3124
2,216
2,1644
987,10100
1,1084
5,7567
11,5993
7,154
6,450
3,6638
1,380
2,192
435,36391
1,406
1,3315
1,48
1,48
4,505
1,196
1,216
2,136
1,92
1,48
2,136
1,100
2,140
3,116
1,744
1,1680
1,92
1,716
1,120
26,31237
2,288
53,6033
1,2472
488,30210
4,5451
91,750
867,216
7,409
5,126
87,1202
1,157
3,108
69,23074
1,108
1,1364
1,10180
1,5320
4,652
1,180
1,42024
1,2437
2,232
44,149
131,1094
27,18144
1,168
1,532
3,96
1,92
1,1420
14,4680
1,48
3,469
1,4142
1,108
1,272
3,1847
2,92
3,86
1,92
3,83605
1,184
1,3852
1,152
1,116
1,30032
1,48
2,164
1,15055
1,123
3,156
1,96
1,144
1,2902
1,96
1,16224
2,15888
2,136
1,208
1,112
1,14748
22,12791
3,11409
7,199
1,120
8,152
1,624
1,756
2,9281
100,42945
1,18555
1,76
1,472
1,95
1,2172
580,765
2,1126
1,48
36,10085
37,13371
18,119
3,4086
2,88
5,120
1,280
1,100
1,96
1,88
23,8813
5,508
1,88
4,116
1,312
146,5566
1,640
1,96
1,6736
2,116
1,124
5,9527
1,8508
2,92
1,48
4,327
62,3108
3,564
2,312
1,156
2,3120
33,4467
1,88
1,2256
1,48
1,96
376,99017
1,112
3,2808
1,720
1,48
1,148
1,312
2,29193
1,902
73,407
1,944
2,604
1,112
1,14568
12,2779
16,320
5,8440
99,35613
4,6771
1,92
1,488
1,188
89,1632
2,5964
3,358
1,204
2,180
1,92
1,332
1,92
4,6524
1,1480
1,30044
1,120
1,2387
7,950
1,48
1,92
5,311
1,96
4,636
1,113
1,443
1,148
2,2928
1,2278
1,48
1,188
1,200
1,130
2,2417
1,23444
142,23873
1,100
1,5090
1,112
1,100
10,2161
1,48
8,95
1,192
1,648
1,160
10,3443
1,2996
4,768
11,151
30,12286
1,48
2,1503
1,3332
1,124
1,124
4,1244
35,928
1,828
2,4431
1,1440
1,317
1,48
13,52011
45,36899
6,944
7,2842
2,3400
2,5279
1,880
3,212
4,136
1,360
2,6454
1,120
193,458
1,116
1,3688
1,184
1,156
1,1420
1,48
1,100
1,116
3,1563
7,70920
14,183
1,328
1,96
2,10060
1,368
1,836
1,120
1,527
2,120
1,1532
37,2931
1,313
144,883
6,1192
2,116
6,823
2,124287
3,158
1,752
1,7756
1,92
1,48
1,216
3,2650
1,88
1,888
1,13596
1,708
4,168
1,376
1,125
13,4263
4,2108
10,551
4,10950
2,196
10,2920
4,791
5,814
2,4711
1,100
1,24620
1,48
1,120
1,2304
1,260
1,92
1,108
1,48
1,48
1,108
1,120
1,48
1,1252
5,435
2,1027
1,48
1,804
1,232
13,514
2,113
1,96
9,3812
1,100
3,7801
1,92
1,1048
1,90
1,148
1,120
1,104
1,120
5,221
3,511
1,112
10,2219
5,112
5,316
1,392
1,1911
1,1345
53,180788
1,246
3,251
4,1100
3,285
10,122
1,11418
1,5628
2,1076
18,100
7,992
1,1240
2,172
1,124
1,264
1,2796
1,322
1,2499
1,48
2,55142
1,3677
1,100
1,196
1,412492
1,69906
1,100
1,5952
1,136
1,36999
1,224
1,131
1,2320
1,2030
1,2091
1,7416
1,1340
1,190
1,1436
1,49469
1,112
11,4817
1,18992
1,372
1,452
1,144
1,26908
1,308
2,116
1,3328
1,384
583,19383
6,2992
2,48
2,240
2,116
1,112
1,48
1,1868
2,338
1,4702
2,5494
2,320
1,96
2,708
2,864
1,296
6,252
1,152
1,284
2,108
1,3392
2,1652
2,404
2,246
4,5832
9,442
2,104
1,132
3,483
1,440
2,128
1,128
4,111551
1,1172
1,104
1976,82737
3,2780
1,532
13,19261
2,712
149,14757
1,186
1,1376
2,104
2,5592
2,21848
1,176
399,1113
1,2251
71,1816
1,6784
26,1462
33,158
4,487
5,280
13,245
1,3332
5,233
1,256
2,38214
1,88
1,988
1,92
1,208
17,2793
1,296
1,3055
3,2513
3,484
1,176
2,612
10,104
4,197
2,96
14,261
2,876
1,600
37,929
3,820
43,1065
46,1109
2,498
41,1631
9,512
1,48
1,176
19,604
2,140
1,152
1,120
1,112
1,912
1,104
1,96
169,24212
1,96
1,92
3,3196
71,9205
1,160
1,204
25,129
26,502
2,53436
1,48
3,168
1,267
1,92
1,48
1,120
5,436
3,10746
87,629
1,148
1,120
1,108
2,392
1,1492
1,639
1,128
1,48
4,453
2,1387
1,161124
1,884
11,322
22,178
7,758
6,177
3,619
7,1728
2,88
2,1054
2,41042
1,112
2,1736
1,728
1,4204
1,108
1,176
1,120
1,188
1,48
1,104
1,388
1,2008
2316,9541
2,92
1,48
2,356
2,1803
3,788
4,1309
3,6306
3,6292
18,135
3,143
79,34786
2,1860
8,2406
35,63560
2,1411
2,129
1,48
2,1386
1,5524
1,268
2,33500
1,120
1,3612
1,100
1,604
1,156
6,3232
1,108
1,1644
1,132
5,334
12,654
2,140
3,144
1,118
1,48
5,170
2,196
1,96
3,128
41,2949
3,93756
10,4327
1,115
13,123
1,48
1,268
1,92
2,6836
1,108
1,125
1,300
1,244
2,4154
1,8105
1,92
1,5762
1,13808
1,100
1,115
4,3635
1,2864
3,3589
8,76808
3,1442
20,107
2,1232
1,48
1,92
1,97
1,440
2,4080
5,5808
186,3650
1,824
1,108
1,13992
2,1680
1,112
1,48
2,2852
131,1721
1,216
1,108
2,104
1,136
2,168
1,280
10,204
1,5136
2,31203
1,628
1,288
2,1288
1,356
1,492
139,1422
8,66076
11,2217
13,1465
1,748
1,1136
2,116
2,1458
2,1268
5,100
1,164
25,347
1,48
4,142
1,152
1,124
1,312
1,136
2,1428
3,7972
11,113
1,92
1,22100
2,400792
2,4104
1,88
1,76
1,48
1,140
2,2556
1,258
1,104
1,11296
3,160
1,180
1,732
1,240
2,104
57,270
7,948
1,200
1,116
1,3316
1,48
6,15180
2,22821
2,5996
7,3619
1,48
1,48
5,16224
2,256
2,3472
1,94812
1,1072
1,12900
1,92
2,688
1,232
2,634
1,48
159,6578
1,484
1,196
1,957
3,10888
1,100
1,6740
1,48
75,1532
1,83696
4,87
5,554
12,5454
1,104
8,1959
4,9938
15,15495
128,12414
1,2288
1,152
1,48
2,4702
2,589
1,807
1,966
1,172
1,176
3,2677
2,107
2,305348
1,4004
1,123
1,1024
1,196
1,5368
1,132
3,532
2,334
1,75424
9,496
3,104
9,6389
9,262
1,996
1,48
1,180
1,48
1,48
1,5608
1,172
3,134
2,568
2,6533
1,152
2,124
1,48
1,104
1,6604
1,216
7,97
2,85
1,29048
42,617
32,128
2,213
5,5726
4,114436
6,99769
1,92
2611,314925
1,92
2,8775
2,664
1,566
1,48
64,2316
1,144
1,629
11,19678
109,364
4,717
1,1520
1,132
1,324
1,5868
1,48
1,4816
37,182
943,4513
189,21774
1,612
14,112
11,108733
68,269
3,2061
8,388
615,501953
5,592
1,48
2,27704
7,2139
1,112
1,31132
1,88
2,732
3,2965
1,100
1,92
1,92
1,312
1,11324
1,128
2,3644
1,200
209,155870
1,48
11,773
1,108
4,1989
1,92
3,1791
1,10824
1,336
2,180
4,733
1,952
13,653
6,23411
6,121
2,132
3,3400
1,112
6,304
1,92
1,128
2,112
1,288
21,1327
62,5624
3,767
2,124
1,48
1,232
8,375
1,1016
1,140
3,5288
1,304
1,100
2,555
24,929
27,126
11,2628
8,390054
2,128
1,48
2,1332
1,116
1,5528
14,699
1,270184
1,116
1,1492
1,48
3,120
2,10392
1,3008
1,140
1,248
1,396
54,60242
1,104
1,108
2,202
2,436
1,172
2,2655
19,2545
2,74120
2,88
2,1600
1,424
1,108
2,156
1,136
32,248
6,845
1,196
1,680
1,572
3,5208
1,8316
1,88
1,272
1,33020
1,9564
2,220
2,1416
1,296
1,592
1,7628
1,340
1,87612
1,440
54,175809
12,219
14,488
44,400
2,2048
833,2776
4,135
2,148
1,394
4,2062
12,802
1,140
2,224
1,156
2,104
3,144
3,240
1,184
1,132
1,448
1,534
1,96
26,14942
2,11372
914,75881
16,2880
67,145
27,416
6,162
4,1645
10,1374
1,636
1,48
6,1937
1,48
3,2317
1,128
1,6476
3,181
3478,3961
1,100
1,92
6,316
2,3184
1,2336
1,492
36,3940
689,348
88,494
3,2492
3,30733
1,319
1,48
2,4916
7,921
7,121
7,265
10,1153
2,92
2,568
1,140
1,92
1,212
1,108
1,136
1,143
2,5264
1,48
1,120
1,112
1,1172
1,132
1,34020
1220,25566
1,121
2,96
16,1364
1,35833
2,1624
30,5446
1,48
150,13311
14,32144
14,21299
4,2575
2,479
1,48
5,110
10,132
1,264
2,1728
1,156
9,146
3,100
2,164
1769,1025
1,4698
1,148
1,23404
1,252
2,258
1,96
9,1847
3,195304
1,132
45,11135
6,101
16,229
68,146
16,4561
2,360
8,132
5,463
3,907
19,857
5,144
1,92
10,8868
1,92
1,100
1,96
9,1947
86,2146
3,24773
1,1244
1,19183
3,105
1,36624
4,292
6,82963
1,88
1,796
1,152
1,48
3,3284
4,9516
3,44072
1,48
1,156
4,180
1,48
1,25456
1,96
1,392
1,216
1,120
2,690
281,2238
1,268
1,2748
1,96
26,2523
2,168
5,1544
1,88
2,9384
2,248
1,120
1281,23682
1,1676
5,156
1,96
1,118
1,116
1,48
1,92
21,5103
110,385
1,96
2,116
1,264
190,3964
1,12281
16,324
9,149
1,216
1,108
1,48
1,100
13,462
2,116
1,48
2,669
1,92
2,19440
1,824
1,1796
1,2772
1,144
6,568
1,92
3,300
1,124
2,100
1,92
2,48756
30,187
30,24181
10,2376
23,107555
38,902
7,1372
8,3226
7,90
5,1837
2,368
4,438
1,708
1,48
1,388
1,104
1,116
1,48
5,174
1,140
1,29392
3,125
1,168
1,304
1,100
2,168
1,96
1,104
2,472
1,48
1,148
1,120
8,2250
2,116
2,11860
4,320
1,268
176,124
1,100
3,8438
15,363
4,6677
2,3062
3,17845
1,2423
2,990
3,110
1,200
1,1384
1,381
1,2000
1,315
1,268
1,200
1,48
1,88
1,408
1,96
1,181
1,232
2,5618
21,834
1,48
1,116
3,388
1,119
1,172
1,48
21,1704
31,12286
8,509
2,5242
3,6693
1,124
1,5534
1,96
1,580
1,92
2,92
1,412
1,48
1,136
2,432
1,48
1,980
7,546
1,1856
7,5874
1,128
1,100
1,2383
10,452
1,48
3,184
2,25176
2,104
1,92
1,29212
1,5544
1,1008
1,210
20,1310
3,515
1,276
2,122
10,97
1,108
10,2780
1,2576
4,1108
1,100
42,147289
13,665
26,300
2,156
9,3087
1,8005
5,90
1,108
1,208
5,244
1,120
1,248
1,4956
2,348
1,1276
1,116
3,413
25,220
7,5222
3,40633
2,6024
5,402
1,756
1,100
3,732
66,630143
1,48
2,130
1,5948
1,5783
1,160
59,6981
1,288
1,48
2,1022
4,751
3,1756
1,108
1,104
1,108
1,132
1,92
1,92
1,92
951,3542
40,1541
29,541
1,120
3,94
2,156
6,618
2,116
1,1112
1,232
1,48
1,92
5,3279
94,1222
1,112
1,112
1,1320
3,1768
2,100
1,92
2,109
13,225
8,13830
3,369
5,2008
2,1214
2,120
723,861
1,7128
1,104
2,192
1,96
1,48
1,144
1,3300
1,1568
2,208
3,459428
1,784
36,351
1,364
1,148
1,3816
2,104
24,79081
9,34886
3,252
16,401
6,1660
1,96
1,92
1,148
718,8944
2,172
8,173
1,128
1,48
3,2617
4,94965
3,119
1,100
6,8370
2,749
1,48
3,107
1,53903
1,92
1,96
3,21639
1,48
2,3152
3,824
4,114
1,240
1,108
35,52884
1,57674
2,29410
1,244
4,264
62,4440
1,6535
6,3360
4,100809
2,585
3,94
2,47750
1,48
1,284
41,2999
1,172
1,1360
1,644
1,124
2,60508
1,3744
2,248
2,168
2,4076
1,148
26,390
1,572
2,96
1,436
1,160
53,2255
1,892
1560,222984
400,168
7,10665
1,191
6,11117
1,156
50,765
1,149
4,116
1,600
1,192
2,676
1,264
2,48
34,1661
1,104
2,94660
7,914
4,12148
198,10063
4,135
11,221
20,13534
1,156
7,428
1,104
2,144
1,124
1,124
1,392
1,1448
1,148
26,40996
6,4856
8,971
3,4656
3,3845
2,1300
1,48
4,72983
3,316
2,20572
1,256
1,5412
1,172
2,791
2,43644
26,873
41,688
1,648
1,92
1,128
1,1199
1,620
1,100
1,148
41,137
3,896
13,190
42,2758
1,48
1,120
5,711
1,1004
1,108
4,101
1,404
1,104
1,116
1,112
4,11563
4,354
1,616
39,2564
36,14694
1,132686
4,6914
1,507408
1,116
1,108
1,352
2,148
1,92
2,659
1,48
1,48
1,136
3,242
1,104
1,320
1,48
1,178
1,108
1,92
1,172
10,2799
1,164
2,568
1,376
1,48
1,13672
14,1491
4,194
1,220
5,376292
1,608
1,100
2,140
4,93
1,100
1,204
9,29433
2,314
217,417
2,148
44,344
2,1070
1,120
1,128
8,12764
1,48
1,96
2,654
1,48
1,124
1,192
1,48
5,1459
1,492
2,224
3,108
1190,4120
1,1740
2,755
1,908
25,635
110,77500
22,1395
4,38164
5,62747
1,48
2,104
8,1118
2,132
1,48
11,108
1,92
7,33693
1,116
1,110
1,25444
2,632
1,587
3,48624
2,116
171,6252
2,1132
5,1548
1,792
1,408
1,524
1561,1062
29,16442
6,1297
14,301
5,216
29,219
1,96
1,96
7,264
10,548
1,240
1,97
1,48
1,492
1,695
144,5939
1,48
1,92
1,208
1,592
1,2312
2,6048
2,2656
1,140
2,672
2,316
1,156
1,3212
1,388
1,3336
1,5996
3,8104
8,7104
4,3012
2,146
2,104
2,109
1,624
1,2312
1,108
1,144
1,126
1,48
5,2008
1,96
4,118
2,704
1,112
39,32922
1,1160
99,27706
7,29172
6,147
9,8981
25,17102
6,488
2,88
1,1192
1,88
2,5954
1,1496
1,24315
37,800
1,104
4,112
23,1042
1,388
8,1393
1,48
4,1440
1,96
6,432
2,27856
1,104
2,158
28,4673
1,92
2,3592
5,209
1,220
1,7744
1,4084
3,25286
2,4560
1,67128
1,170644
1,2644
1,7884
1,300
1,112
1,328
1,852
1,596
1,720
1,92
1,7240
1,812
1,92
1,96
2,32128
169,17262
1,220
1,1504
2,1327
2,204
143,3580
1,2168
1,32860
2,128
227,20314
2,192
1,912
4,10718
20,1740
2,111
17,973
1,100
2,412
4,210
1,2188
2,460
1,92
1,180
1,840
1,5668
1,4698
1,252
1,100
1,100
1,371
4,872
20,3252
3,284
1,132
9,99
3,8608
3,6357
23,409
12,117
1,232
2,8314
1,48
3,107
1,1153
1,48
1,1104
6,15586
1,132
1,102620
1,6336
8,897
3,326
4,2416
20,8005
2,1780
1,452
4,5771
1,212
1,100
7,217
1,4900
1,48
7,94564
14,1866
2,228
4,4768
